Iter,RSquared
1,0.05723988080588971
2,-0.18176211254403496
3,-0.11033921129561208
4,-0.2742477713193727
5,-0.8098330308383261
6,-1.1242862798965318
7,-1.0533280151648947
8,0.19518483526988395
9,0.22108389549365803
10,0.31725416850075383
11,-2.1220653174227904
12,0.30480385240726204
13,-0.9800023579150694
14,-0.8485814808597516
15,-0.10217912797556683
16,0.36037082734092707
17,0.22733508854803286
18,-3.625009329221207
19,0.31737853362757973
20,0.2677575594904953
21,0.27207823304424594
22,-0.021611377992639902
23,0.16646893047222988
24,-0.3249568020901299
25,0.16979303100836207
26,0.09817357531589266
27,0.3842762749666613
28,-0.5934343955291439
29,0.18488239454096556
30,0.22896895051227406
31,-2.486936646697424
32,0.20547099759687282
33,0.24674758612220082
34,0.040019808372897536
35,-0.3183253548212197
36,0.22955745141802464
37,-0.6281299154823043
38,0.3475399645709729
39,-0.5503909607061517
40,-0.23376643355251936
41,-0.21278145818576033
42,-0.24612076562895924
43,0.31520246281261033
44,0.05705725367599601
45,-0.09787688770798297
46,-0.24637479304087329
47,-1.6172580155095329
48,-0.026322770503961257
49,-1.313212634911559
50,-0.49436101099568663
51,-0.13327025202000597
52,0.5676545366292587
53,-0.3015971862029363
54,0.146254131531388
55,0.17824214145465578
56,0.15922352019102692
57,0.27253984113560614
58,-1.437420430267979
59,0.07425128308460516
60,0.036781019787926694
61,-0.235879543141281
62,0.3362387194719869
63,0.09365935718258434
64,-0.13163405507838255
65,0.01876297058994525
66,0.2693666932166823
67,0.23239832254726578
68,0.10396947164554249
69,-0.014772474293055948
70,0.0500252056537589
71,-1.5728784138736431
72,-0.05438477057321833
73,-0.16747906879459906
74,0.12752841678795823
75,0.1496276407725634
76,-0.10990151484425992
77,0.6615111405894605
78,0.3938981943792993
79,0.27194204075238704
80,0.04907172806540505
81,-0.18042733178564951
82,-1.2042623274215956
83,0.4693099842516526
84,0.12427431583298199
85,0.29730128653064536
86,0.060194001069945324
87,0.5442201186777493
88,-0.17104655148587566
89,-0.17240978879705438
90,0.012009010172956969
91,0.0971811956479306
92,0.2731774241947075
93,0.41976126631243116
94,0.030884820294392212
95,-0.11352420073125224
96,0.33907592186839486
97,0.0853153759191616
98,-0.8691338796261094
99,0.12221218445513393
100,-0.35112575883493347
